Customer_Loyalty_ID,Gender,Geographic_Region,Loyalty_Status,Neigborhood_Cluster-55_Level,Neighborhood_Cluster-7_Level,Television_Region,Affluence_Grade,Age,Frequency,Frequency_Percent,Loyalty_Card_Tenure,Organics_Purchase_Count,Organics_Purchase_Indicator,Total_Spend
140,U,Midlands,Gold,16.0,C,Wales & West,10,76,1,0.00%,4,0,0,16000.0
620,U,Midlands,Gold,35.0,D,Wales & West,4,49,1,0.00%,5,0,0,6000.0
868,F,Midlands,Silver,27.0,D,Wales & West,5,70,1,0.00%,8,1,1,0.02
1120,M,Midlands,Tin,51.0,F,Midlands,10,65,1,0.00%,7,1,1,0.01
2313,F,Midlands,Tin,4.0,A,Midlands,11,68,1,0.00%,8,0,0,0.01
2771,U,North,Platinum,28.0,D,N West,9,72,1,0.00%,3,0,0,20759.81
3131,F,Midlands,Tin,3.0,A,East,11,74,1,0.00%,8,0,0,0.01
3328,M,North,Tin,32.0,D,N East,13,62,1,0.00%,5,0,0,0.01
4529,M,Midlands,Silver,49.0,F,East,10,62,1,0.00%,3,0,0,2038.76
7420,F,North,Gold,52.0,F,N East,7,60,1,0.00%,2,0,0,11000.0
10006,F,Midlands,Silver,52.0,F,Midlands,9,51,1,0.00%,11,0,0,300.0
10219,F,South East,Tin,19.0,C,S & S East,6,64,1,0.00%,9,0,0,0.01
10812,F,South East,Tin,18.0,C,London,16,37,1,0.00%,4,2,1,0.01
11207,M,Midlands,Silver,28.0,D,Midlands,8,54,1,0.00%,1,0,0,1420.0
11932,F,Midlands,Gold,15.0,B,Midlands,5,70,1,0.00%,8,0,0,6104.66
19496,F,Midlands,Silver,49.0,F,Midlands,9,66,1,0.00%,12,0,0,500.0
19763,F,Midlands,Gold,8.0,B,Wales & West,9,74,1,0.00%,2,0,0,6000.0
20761,M,South East,Silver,30.0,D,S & S East,7,66,1,0.00%,5,0,0,1000.0
23124,F,South East,Tin,27.0,D,London,6,46,1,0.00%,8,0,0,0.01
24880,M,Midlands,Silver,12.0,B,East,7,75,1,0.00%,7,0,0,4000.0
27715,M,North,Tin,53.0,F,N West,7,43,1,0.00%,5,1,1,0.01
29173,F,Midlands,Gold,24.0,C,Wales & West,7,62,1,0.00%,4,0,0,20000.0
29440,M,South West,Silver,5.0,B,S West,8,37,1,0.00%,9,1,1,1000.0
30600,F,South East,Tin,48.0,F,London,9,49,1,0.00%,8,0,0,0.01
41092,F,Midlands,Gold,35.0,D,East,3,50,1,0.00%,3,0,0,9800.0
42439,F,Midlands,Silver,19.0,C,Wales & West,15,35,1,0.00%,5,1,1,1630.0
45799,F,Midlands,Silver,14.0,B,Wales & West,10,71,1,0.00%,5,0,0,1500.0
46906,F,North,Silver,51.0,F,N West,7,44,1,0.00%,1,0,0,1000.0
50237,M,North,Tin,15.0,B,N East,8,42,1,0.00%,5,0,0,0.01
51950,F,South West,Gold,8.0,B,S West,9,68,1,0.00%,5,1,1,6053.25
54496,F,North,Tin,32.0,D,Yorkshire,9,31,1,0.00%,4,0,0,0.01
